omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
46492.914063,7399.577091873145,0.964966,0.9645630000000001,0.386,0.3864,-0.31338802688572076,22.13908920385501,0.8934474500773243,0.36350162987162415,7399.577148,118384.398438,0.0,1000000.0,1.647,2792.0,1296.0,1.193,0.424,0.009,1.664,2786.0,1343.0,1.15,0.409,0.002,3.0
47140.726563,7502.679653444863,0.965698,0.9655334,0.381,0.38000000000000006,-0.3046539677838139,21.772396214971288,0.8966567230479489,0.3581361019619132,7502.680176,120056.492188,0.0,1000000.0,1.647,2792.0,1297.0,1.201,0.424,0.009,1.664,2816.0,1345.0,1.162,0.409,0.002,3.0
47754.9375,7600.434360169519,0.966095,0.9665038,0.373,0.37460000000000004,-0.29592868235601405,21.46299900560064,0.8994806820727866,0.35364402722556265,7600.434082,121602.289063,0.0,1000000.0,1.647,2800.0,1297.0,1.197,0.424,0.014,1.664,2791.0,1340.0,1.155,0.409,0.001,3.0
48385.367188,7700.7703612866,0.967712,0.9670958000000001,0.369,0.369,-0.2906100560733015,21.14214264032738,0.9019991260430343,0.3488149409002465,7700.77002,123188.40625,0.0,1000000.0,1.647,2791.0,1296.0,1.204,0.424,0.024,1.664,2789.0,1344.0,1.164,0.41,0.004,3.0
49032.664063,7803.790858590786,0.968048,0.9677124000000001,0.364,0.36280000000000007,-0.2850738796893642,20.786908807346272,0.9047208919793074,0.34343470519143326,7803.791016,124816.445313,0.0,1000000.0,1.647,2788.0,1300.0,1.198,0.424,0.008,1.664,2789.0,1344.0,1.164,0.41,0.002,3.0
49620.414063,7897.3341763930475,0.967926,0.9685364000000001,0.358,0.3572,-0.27768105548843164,20.466052442073007,0.9074019190155168,0.3386510231667958,7897.334961,126394.054688,0.0,1000000.0,1.647,2790.0,1296.0,1.196,0.424,0.015,1.664,2800.0,1344.0,1.165,0.41,0.004,3.0
50265.484375,8000.000305189679,0.968781,0.9691530000000002,0.35,0.3514,-0.272153110987517,20.133736920897128,0.9099297421240334,0.33359466693442574,8000.0,128012.046875,0.0,1000000.0,1.647,2793.0,1295.0,1.203,0.424,0.01,1.664,2789.0,1340.0,1.164,0.411,0.002,3.0
50875.996094,8097.16626308406,0.970215,0.9698428000000001,0.345,0.3458,-0.265973080143616,19.812880555623867,0.9124325618427619,0.3287276635771542,8097.166016,129573.171875,0.0,1000000.0,1.647,2791.0,1295.0,1.202,0.424,0.018,1.664,2795.0,1341.0,1.169,0.411,0.003,3.0
51501.523438,8196.722031920803,0.970795,0.9707522,0.34,0.3406,-0.25783233092487806,19.51494250215584,0.9149867609039354,0.32428237876172755,8196.72168,131172.84375,0.0,1000000.0,1.647,2791.0,1295.0,1.204,0.424,0.014,1.664,2794.0,1338.0,1.172,0.412,0.002,3.0
52142.617188,8298.755271218623,0.971497,0.9712832,0.336,0.3362,-0.25308246126467443,19.262841072298276,0.9169060137306736,0.3204284890373605,8298.754883,132812.5,0.0,1000000.0,1.647,2791.0,1297.0,1.204,0.424,0.011,1.665,2793.0,1339.0,1.169,0.412,0.003,3.0
