omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
23242.363281,3699.137005308713,0.073486,0.07398080000000001,-3.465,-3.4686000000000003,-22.617619534025092,-198.73614081907738,-0.07006039866371216,0.023763402696619862,3699.136963,59192.199219,0.0,1000000.0,1.647,2800.0,1297.0,1.203,0.424,0.233,1.642,2112.0,1977.0,0.092,0.031,0.025,3.0
23890.4375,3802.2812207529823,0.06897,0.0696168,-3.511,-3.5088000000000004,-23.145718866734693,-201.03943115550328,-0.06497569684908915,0.02499315228648173,3802.281006,60844.667969,0.0,1000000.0,1.647,2789.0,1299.0,1.199,0.424,0.082,1.643,2112.0,1971.0,0.103,0.03,0.005,3.0
24511.777344,3901.1705282655294,0.065308,0.06543580000000002,-3.563,-3.5492000000000004,-23.683691673091843,-203.3541806478318,-0.06007477124844727,0.025939656533707917,3901.170898,62408.222656,0.0,1000000.0,1.647,2789.0,1297.0,1.19,0.424,0.087,1.643,2112.0,1988.0,0.082,0.028,0.027,3.0
25132.742188,4000.000152674417,0.061493,0.06167000000000001,-3.579,-3.5876,-24.198521031473902,-205.55433858113415,-0.05563723013930919,0.0266023969300803,4000.0,64006.023438,0.0,1000000.0,1.647,2792.0,1295.0,1.204,0.424,0.045,1.642,2112.0,1989.0,0.079,0.026,0.008,3.0
25750.761719,4098.361015960401,0.057922,0.05825200000000001,-3.628,-3.6228000000000007,-24.69378318318814,-207.5711500199947,-0.05163671350304859,0.026961923570177276,4098.36084,65561.125,0.0,1000000.0,1.647,2792.0,1298.0,1.198,0.424,0.046,1.643,2088.0,1989.0,0.077,0.025,0.015,3.0
26399.939453,4201.680861271698,0.054657,0.0549134,-3.657,-3.6524000000000005,-25.206433316478957,-209.2671050935819,-0.04790370971279932,0.026846156062122862,4201.681152,67220.242188,0.0,1000000.0,1.647,2789.0,1300.0,1.197,0.423,0.019,1.642,2096.0,1994.0,0.07,0.023,0.008,3.0
27024.453125,4301.075299198968,0.05188,0.0518494,-3.687,-3.693,-25.705125297821596,-211.59331374181303,-0.04416470066992917,0.027163201120183857,4301.075195,68825.914063,0.0,1000000.0,1.647,2791.0,1297.0,1.201,0.424,0.087,1.642,2082.0,1988.0,0.07,0.022,0.01,3.0
27648.78125,4400.440206404013,0.048615,0.04900519999999999,-3.711,-3.7252000000000005,-26.195156680456442,-213.4382378421343,-0.04089387397820455,0.027003716375616223,4400.439941,70393.375,0.0,1000000.0,1.648,2791.0,1300.0,1.201,0.424,0.02,1.644,2081.0,1987.0,0.064,0.021,0.006,3.0
28270.800781,4499.437689462366,0.046173,0.04646,-3.782,-3.7578000000000005,-26.658415890715666,-215.3060802542608,-0.037914903177589186,0.026851288926866012,4499.437988,72003.390625,0.0,1000000.0,1.647,2791.0,1296.0,1.203,0.424,0.104,1.642,2080.0,1999.0,0.063,0.02,0.006,3.0
28888.207031,4597.700946045697,0.043701,0.043975799999999995,-3.789,-3.7950000000000004,-27.1357250237999,-217.43748325214744,-0.03491753725418003,0.026732687439592548,4597.701172,73561.226563,0.0,1000000.0,1.648,2792.0,1297.0,1.203,0.424,0.059,1.644,2080.0,2003.0,0.06,0.019,0.009,3.0
29533.1875,4700.352775884775,0.041931,0.0417236,-3.82,-3.8407999999999998,-27.59236453574254,-220.06162995384656,-0.03193326525813238,0.026853777516650346,4700.353027,75221.242188,0.0,1000000.0,1.648,2789.0,1300.0,1.198,0.424,0.211,1.642,2112.0,2002.0,0.055,0.018,0.031,3.0
30171.359375,4801.920984333248,0.039459,0.039715600000000004,-3.873,-3.8788000000000005,-28.020777439972374,-222.23886957534373,-0.02940339398998654,0.02669773970263445,4801.920898,76818.796875,0.0,1000000.0,1.647,2792.0,1298.0,1.202,0.424,0.062,1.642,2080.0,2005.0,0.06,0.017,0.017,3.0
30799.929688,4901.961056728018,0.037354,0.0377748,-3.94,-3.9170000000000003,-28.45595652740353,-224.42756835274346,-0.026976342607000343,0.026442625712847386,4901.960938,78413.28125,0.0,1000000.0,1.647,2784.0,1303.0,1.188,0.424,0.317,1.642,2112.0,1995.0,0.059,0.016,0.051,3.0
31415.927734,5000.000190683867,0.036133,0.035943800000000005,-3.972,-3.9620000000000006,-28.887520218557704,-227.0058784308322,-0.024510915467729096,0.02629014608886453,5000.0,80000.0,0.0,1000000.0,1.647,2782.0,1306.0,1.189,0.423,0.127,1.642,2068.0,2008.0,0.048,0.016,0.021,3.0
32057.070313,5102.041201358403,0.033997,0.0341312,-3.98,-3.999,-29.336968846664725,-229.1258222728162,-0.02233546057062322,0.02580825477513223,5102.041016,81613.054688,0.0,1000000.0,1.648,2787.0,1303.0,1.189,0.424,0.056,1.644,2112.0,2011.0,0.056,0.015,0.031,3.0
32656.890625,5197.505568980126,0.032776,0.032471,-4.045,-4.037000000000001,-29.770086726528685,-231.30306189431337,-0.020300900019360895,0.025342440675750096,5197.505859,83170.257813,0.0,1000000.0,1.647,2793.0,1294.0,1.203,0.424,0.254,1.642,2112.0,2001.0,0.06,0.014,0.009,3.0
33314.875,5302.227034738607,0.030396,0.030878,-4.058,-4.0716,-30.2070167425634,-233.285495865466,-0.018459735863134197,0.024752556148069177,5302.227051,84830.335938,0.0,1000000.0,1.647,2785.0,1303.0,1.19,0.424,0.112,1.642,2080.0,2010.0,0.047,0.013,0.026,3.0
33926.488281,5399.568311670409,0.029053,0.029467999999999998,-4.13,-4.117,-30.61298677634307,-235.88672425535992,-0.016526563358381978,0.02439745330073174,5399.567871,86382.117188,0.0,1000000.0,1.647,2792.0,1297.0,1.204,0.424,0.11,1.642,2080.0,2009.0,0.055,0.013,0.033,3.0
34560.976563,5500.550258084593,0.028168,0.0280276,-4.145,-4.159,-31.048281784631303,-238.29314699490936,-0.014730561325881771,0.02384443173540599,5500.550781,87991.71875,0.0,1000000.0,1.648,2792.0,1296.0,1.204,0.424,0.16,1.642,2080.0,2007.0,0.053,0.012,0.012,3.0
35180.210938,5599.104469798263,0.026947,0.0268374,-4.207,-4.2004,-31.42519121592366,-240.665192266751,-0.013147968383258513,0.02339608869347256,5599.104004,89567.96875,0.0,1000000.0,1.647,2816.0,1302.0,1.189,0.424,0.201,1.642,2080.0,2006.0,0.048,0.012,0.029,3.0
35822.039063,5701.254588507416,0.025574,0.025458,-4.255,-4.235799999999999,-31.88351435699481,-242.69346286151406,-0.011678881377513415,0.022621085158983208,5701.254883,91201.71875,0.0,1000000.0,1.647,2816.0,1304.0,1.193,0.424,0.184,1.642,2080.0,2001.0,0.049,0.011,0.024,3.0
36445.390625,5800.4640708837715,0.024445,0.0242434,-4.265,-4.2648,-32.3081294576966,-244.3550404673935,-0.01049238051606104,0.02185526011435651,5800.463867,92794.757813,0.0,1000000.0,1.648,2784.0,1303.0,1.191,0.424,0.154,1.642,2080.0,2014.0,0.04,0.011,0.015,3.0
37068.941406,5899.705259948732,0.022156,0.0231936,-4.307,-4.2876,-32.692636740226746,-245.6613842402918,-0.009558744169540502,0.021132285509647922,5899.705078,94392.007813,0.0,1000000.0,1.647,2789.0,1301.0,1.199,0.424,0.272,1.641,2064.0,2009.0,0.035,0.01,0.025,3.0
37699.113281,6000.00022885247,0.022095,0.021850799999999997,-4.29,-4.3012,-33.21065316085032,-246.44060684166968,-0.00873375349906704,0.02002945357361339,6000.0,95990.96875,0.0,1000000.0,1.648,2788.0,1299.0,1.198,0.424,0.183,1.643,2080.0,2015.0,0.039,0.01,0.054,3.0
38312.105469,6097.560965649388,0.021698,0.0202822,-4.321,-4.320600000000001,-33.85769878160654,-247.55214496422352,-0.007744604939780774,0.018745365591706212,6097.561035,97532.992188,0.0,1000000.0,1.648,2792.0,1297.0,1.199,0.424,0.385,1.643,2080.0,2005.0,0.046,0.01,0.011,3.0
38945.363281,6198.347076680745,0.01886,0.0190066,-4.323,-4.339,-34.421911301093736,-248.6063873072642,-0.006933094281219435,0.01769697847791318,6198.347168,99183.195313,0.0,1000000.0,1.648,2792.0,1296.0,1.205,0.424,0.49,1.641,2080.0,2013.0,0.053,0.009,0.054,3.0
39599.910156,6302.521447322348,0.016602,0.017682,-4.362,-4.3722,-35.04937227532862,-250.50860718709856,-0.005899868920866797,0.01666867333402962,6302.520996,100830.367188,0.0,1000000.0,1.647,2790.0,1298.0,1.201,0.424,0.112,1.64,2064.0,2005.0,0.036,0.008,0.043,3.0
40190.953125,6396.588857418408,0.015778,0.016217199999999998,-4.399,-4.3948,-35.800482545678975,-251.8034918040942,-0.005064258942766066,0.015406195416150409,6396.588867,102347.984375,0.0,1000000.0,1.647,2791.0,1296.0,1.199,0.424,0.799,1.64,2058.0,2011.0,0.035,0.007,0.055,3.0
40844.109375,6500.541903217274,0.015472,0.015417600000000002,-4.456,-4.4274000000000004,-36.23966452035538,-253.6713342162207,-0.004334610078130834,0.014795727262644668,6500.541992,104039.171875,0.0,1000000.0,1.647,2789.0,1299.0,1.2,0.424,0.695,1.64,2064.0,2008.0,0.039,0.007,0.052,3.0
41473.171875,6600.66030960602,0.014374,0.014514200000000001,-4.434,-4.444,-36.764137936102436,-254.62244415613785,-0.003848852876205994,0.01399458227948662,6600.660156,105590.0625,0.0,1000000.0,1.647,2792.0,1297.0,1.202,0.424,0.456,1.639,2056.0,2012.0,0.031,0.007,0.09,3.0
42074.902344,6696.428688156374,0.014862,0.0138428,-4.486,-4.453200000000001,-37.17552111440942,-255.14956532765825,-0.0035478640446136613,0.013380424976843509,6696.429199,107120.351563,0.0,1000000.0,1.648,2793.0,1297.0,1.204,0.424,0.537,1.642,2080.0,2010.0,0.044,0.007,0.026,3.0
42742.757813,6802.72118731868,0.012085,0.013006799999999999,-4.445,-4.459600000000001,-37.71659075329381,-255.51625831654198,-0.0032530692425579424,0.012593426330555296,6802.721191,108834.828125,0.0,1000000.0,1.647,2791.0,1297.0,1.198,0.424,0.655,1.639,2080.0,2010.0,0.037,0.006,0.075,3.0
43375.046875,6903.353116998918,0.012421,0.0121584,-4.445,-4.469400000000001,-38.302471456677296,-256.0777569557702,-0.0029253702567644513,0.011801224488197735,6903.353027,110461.335938,0.0,1000000.0,1.648,2816.0,1299.0,1.21,0.424,1.275,1.641,2080.0,2006.0,0.047,0.006,0.142,3.0
