omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,clip_flags,input_dc_v,input_pp_v,input_rms_v,output_dc_v,output_pp_v,output_rms_v,valid_capture_count
54636.398438,8695.65288414601,0.720703,0.7205262,0.664,0.6644000000000001,-2.8470044522101423,38.0673159084919,0.5672608231930993,0.4442669955744262,0.0,1.648,1.206,0.424,1.641,0.866,0.305,3.0
55277.292969,8797.654416755222,0.724915,0.7248962,0.658,0.6594000000000001,-2.794483537397206,37.78083701092649,0.5729289311924282,0.4441023987518441,0.0,1.648,1.21,0.424,1.641,0.89,0.307,3.0
55933.402344,8902.077466995406,0.728607,0.7287110000000001,0.655,0.6536,-2.748893493729631,37.448521489750604,0.5785236436451886,0.4430915427589371,0.0,1.648,1.206,0.424,1.641,0.886,0.309,3.0
56548.667969,9000.00003252868,0.733032,0.7330384000000001,0.649,0.6490000000000001,-2.697465487496949,37.18496090399044,0.5840033269749746,0.4430410928533842,0.0,1.647,1.196,0.424,1.641,0.889,0.311,3.0
57177.625,9100.101653004733,0.736298,0.7372924000000001,0.642,0.6448,-2.6472048555084586,36.94431863003548,0.5892588250327361,0.44314119670687285,0.0,1.648,1.203,0.424,1.641,0.892,0.312,3.0
57820.726563,9202.454445666306,0.74234,0.7413086000000001,0.641,0.64,-2.600019231050132,36.66929888837269,0.594600483343144,0.44270611656273706,0.0,1.648,1.193,0.424,1.645,0.906,0.315,3.0
58418.046875,9297.5209259303,0.746185,0.7450624000000001,0.637,0.6348000000000001,-2.5561470593748403,36.371360834904664,0.5999170292019219,0.44183428790362184,0.0,1.648,1.193,0.424,1.645,0.907,0.316,3.0
59089.519531,9404.389118283743,0.748688,0.7491944000000001,0.631,0.6310000000000001,-2.5081095500734305,36.15363687275495,0.6049279977087251,0.4419891023311241,0.0,1.648,1.198,0.424,1.641,0.926,0.317,3.0
59713.488281,9503.696829181114,0.751801,0.7524720000000001,0.623,0.6256,-2.4701931165889848,35.8442396633843,0.6099627690462177,0.4406353721178892,0.0,1.648,1.212,0.424,1.641,0.915,0.318,3.0
60286.429688,9594.883286207189,0.756958,0.7557130000000001,0.623,0.6198,-2.432862137099992,35.51192414220842,0.6151463369829125,0.4389728037880081,0.0,1.648,1.208,0.424,1.645,0.92,0.321,3.0
60936.0625,9698.275559431679,0.758728,0.7590698,0.614,0.6146,-2.3943657373987266,35.2139860887404,0.6201631880966506,0.43770375986714843,0.0,1.647,1.202,0.424,1.641,0.925,0.322,3.0
61599.859375,9803.922113296881,0.76239,0.7628356000000001,0.608,0.6108,-2.3513809500983527,34.996262126590686,0.6249068844830118,0.4375037581016829,0.0,1.648,1.193,0.424,1.641,0.915,0.323,3.0
62209.757813,9900.990464488606,0.765472,0.7659484000000001,0.605,0.6054,-2.3160097339820727,34.68686491722004,0.6298198583223631,0.43589436509934215,0.0,1.647,1.21,0.424,1.641,0.922,0.325,3.0
62831.855469,10000.000381526888,0.77063,0.7702330000000001,0.604,0.5988,-2.2675575664889918,34.308712772433694,0.6362221563684576,0.4341431123890715,0.0,1.648,1.207,0.424,1.645,0.927,0.327,3.0
63466.519531,10101.010304196969,0.772522,0.7733458000000001,0.596,0.5942,-2.2325253751726377,34.04515218667351,0.6407917320473953,0.43295459636934136,0.0,1.647,1.212,0.424,1.64,0.944,0.327,3.0
64114.140625,10204.08240255765,0.780151,0.7764892000000001,0.581,0.5898,-2.1972916078011266,33.79305075681595,0.6453028519221561,0.43187927366079065,0.0,1.647,1.208,0.425,1.641,0.931,0.33,3.0
64708.398438,10298.66147096758,0.777954,0.7796996,0.585,0.5851999999999999,-2.1614537716038726,33.52949017105577,0.6499588569534588,0.4306796379072423,0.0,1.647,1.203,0.424,1.641,0.948,0.33,3.0
65313.78125,10395.011137960251,0.781189,0.7826292000000001,0.583,0.5806,-2.128879050958336,33.265929585295595,0.6543826369920904,0.4292922420635134,0.0,1.647,1.206,0.424,1.641,0.949,0.331,3.0
65999.851563,10504.202619582806,0.786682,0.7846496000000002,0.581,0.5786,-2.1064848462440326,33.151338026269435,0.65693144973877,0.4290874795706326,0.0,1.648,1.206,0.424,1.646,0.956,0.334,3.0
66629.75,10604.454069477213,0.78717,0.787622,0.573,0.5746,-2.07364323145132,32.9221549082171,0.6611376012334899,0.4280718247201362,0.0,1.647,1.202,0.424,1.641,0.957,0.334,3.0
67199.84375,10695.18730781551,0.790253,0.7908630000000001,0.571,0.5708,-2.0379748432481675,32.70443094606739,0.6654866978743548,0.4273075469978122,0.0,1.647,1.206,0.424,1.641,0.961,0.335,3.0
67826.335938,10794.896636344167,0.792816,0.7931824000000001,0.565,0.5656,-2.01253861923089,32.40649289259936,0.6696578830862572,0.4250842731626198,0.0,1.647,1.202,0.424,1.641,0.965,0.336,3.0
68498.554688,10901.883573245721,0.797394,0.7959778000000002,0.564,0.5619999999999999,-1.981980893285475,32.20022808635226,0.6735492862324729,0.4241603672062804,0.0,1.648,1.204,0.424,1.645,0.975,0.338,3.0
69115.039063,11000.00010886589,0.798279,0.7986572000000001,0.555,0.5576,-1.952791775276357,31.9481266564947,0.6776826105075686,0.4226104619238468,0.0,1.647,1.202,0.424,1.641,0.972,0.338,3.0
69742.726563,11099.899677207883,0.801147,0.8013306,0.555,0.5538000000000001,-1.9237654552403187,31.730402694344995,0.6815574462123534,0.4214382256142114,0.0,1.647,1.201,0.424,1.641,0.975,0.34,3.0
70381.914063,11201.629527395435,0.80365,0.8034973999999999,0.549,0.5492000000000001,-1.900310484235008,31.46684210858482,0.6853369999384004,0.4194296941350158,0.0,1.647,1.204,0.424,1.641,0.977,0.341,3.0
71032.929688,11305.241882144244,0.806183,0.8059814000000001,0.546,0.5456000000000001,-1.8734996098180652,31.26057730233772,0.6889658657545186,0.41824879314958785,0.0,1.647,1.208,0.424,1.641,0.978,0.342,3.0
71621.804688,11398.964249257484,0.808228,0.8084596,0.541,0.5414000000000001,-1.8468335518974188,31.019935028382775,0.6928402166383484,0.4166285624398385,0.0,1.647,1.207,0.424,1.641,0.973,0.343,3.0
72220.523438,11494.253297841784,0.810699,0.8109254,0.537,0.5376000000000001,-1.8203819258515184,30.80221106623306,0.6965363736533059,0.4152554449288562,0.0,1.647,1.21,0.424,1.641,0.979,0.344,3.0
72906.171875,11603.377635813566,0.813538,0.8133180000000001,0.534,0.5334,-1.7947923195406499,30.56156879227811,0.7003345257927001,0.4135428890776798,0.0,1.647,1.206,0.424,1.641,0.99,0.345,3.0
73526.640625,11702.128304410115,0.815979,0.8157960000000001,0.53,0.5298,-1.7683685688115913,30.355303986031018,0.7039570252351434,0.41227129446286687,0.0,1.647,1.212,0.424,1.641,0.984,0.346,3.0
74137.882813,11799.410520056621,0.818146,0.8181154,0.525,0.526,-1.743708644217668,30.137580023881302,0.7075244386535753,0.41075780750352553,0.0,1.647,1.2,0.424,1.641,0.993,0.347,3.0
74799.828125,11904.762388517927,0.820618,0.8204408000000001,0.523,0.5222000000000001,-1.719055011556807,29.919856061731597,0.7110956861049649,0.40922613737095215,0.0,1.647,1.208,0.424,1.641,0.991,0.348,3.0
75398.226563,12000.000457864096,0.822296,0.8210268000000001,0.518,0.5196000000000001,-1.7128533277171276,29.77088703499758,0.7126659278286139,0.40766687580722205,0.0,1.647,1.206,0.424,1.641,0.993,0.349,3.0
76006.28125,12096.775366970342,0.825165,0.8232546000000001,0.515,0.516,-1.689316679092171,29.56462222875048,0.7160666472296423,0.4061978497560752,0.0,1.648,1.206,0.424,1.641,1.004,0.35,3.0
76624.210938,12195.121931298776,0.818909,0.8251894000000001,0.517,0.5126,-1.6689271881676233,29.369816578405995,0.7191297029995792,0.40470979248851535,0.0,1.648,1.201,0.426,1.645,1.007,0.349,3.0
77252.28125,12295.082426062843,0.829285,0.8282718,0.507,0.5022000000000001,-1.6365424944893527,28.77394047146995,0.7260015216104845,0.39869282072104245,0.0,1.647,1.196,0.423,1.641,1.007,0.351,3.0
77890.726563,12396.694153520646,0.830292,0.8304874,0.506,0.4988000000000001,-1.6133390439502944,28.579134821125468,0.72929852348662,0.3972819970738618,0.0,1.647,1.207,0.424,1.641,0.997,0.352,3.0
78539.820313,12500.0006323632,0.837708,0.8340578000000001,0.466,0.49440000000000006,-1.5760770363760392,28.327033391267904,0.7341823563828992,0.3957634158394301,0.0,1.647,1.208,0.424,1.641,1.002,0.355,3.0
79199.820313,12605.042894803852,0.836243,0.8359985999999999,0.498,0.49100000000000005,-1.5558889969800502,28.132227740923422,0.7372352231995118,0.39418001582516315,0.0,1.648,1.206,0.424,1.645,1.002,0.355,3.0
79767.0,12695.312345611215,0.836761,0.8380494,0.495,0.4874000000000001,-1.5346076103283317,27.92596293467633,0.7404614824346832,0.39248387211577423,0.0,1.647,1.207,0.424,1.641,1.022,0.355,3.0
80395.085938,12795.275327330426,0.838989,0.8390014,0.49,0.49080000000000007,-1.5247462897009079,28.12076858502081,0.7399623821612383,0.395447875437744,0.0,1.647,1.202,0.424,1.641,1.024,0.356,3.0
81033.148438,12896.826128206998,0.840546,0.8410216,0.488,0.4882000000000001,-1.5038570010371235,27.971799558286794,0.742772241725099,0.39447018719952853,0.0,1.647,1.205,0.424,1.64,1.027,0.356,3.0
