omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
20990.597656,3340.757375405552,0.101685,0.0979128,-3.371,-3.3482000000000003,-20.18321059580763,-191.83772896570224,-0.09583044118898489,0.02008588921020201,3340.76,53459.1,0.0,1000000.0,1.647,2432.0,1669.0,0.604,0.212,0.132,1.642,2080.0,1997.0,0.065,0.022,0.03,3.0
21371.378906,3401.3605935797627,0.088684,0.09270640000000002,-3.34,-3.366,-20.657805664738774,-192.8575938410351,-0.0903818946201587,0.020629826122159387,3401.36,54417.4,0.0,1000000.0,1.647,2816.0,1292.0,1.201,0.424,0.07,1.643,2112.0,1971.0,0.11,0.038,0.011,3.0
21616.462891,3440.3669212651726,0.095795,0.09167480000000001,-3.431,-3.3972,-20.755000576677137,-194.6452221618433,-0.08869627812833514,0.023178421025191086,3440.37,55051.8,0.0,1000000.0,1.647,2432.0,1670.0,0.603,0.212,0.198,1.642,2112.0,1996.0,0.066,0.021,0.052,3.0
21994.814453,3500.583442584012,0.082977,0.086969,-3.385,-3.4078000000000004,-21.21271047133162,-195.25255742468195,-0.08390556762078291,0.022879306878361254,3500.58,56013.2,0.0,1000000.0,1.648,2789.0,1299.0,1.197,0.424,0.079,1.644,2105.0,1975.0,0.103,0.035,0.003,3.0
22254.494141,3541.9127485497734,0.089233,0.08665780000000001,-3.459,-3.434,-21.24384681376151,-196.75370684792472,-0.08297941153186374,0.024979823111175144,3541.91,56666.7,0.0,1000000.0,1.647,2420.0,1670.0,0.603,0.212,0.157,1.642,2075.0,2001.0,0.057,0.019,0.01,3.0
22628.519531,3601.4407382101476,0.078156,0.0819886,-3.424,-3.4430000000000005,-21.724930586783593,-197.26936886354247,-0.07829252471421266,0.024339496786794878,3601.44,57627.1,0.0,1000000.0,1.647,2791.0,1298.0,1.199,0.424,0.102,1.642,2099.0,1969.0,0.098,0.033,0.008,3.0
22875.673828,3640.7765662840993,0.087128,0.0813478,-3.471,-3.4758,-21.793083755779033,-199.14867043157153,-0.07684687609071435,0.026683744113943142,3640.78,58259.1,0.0,1000000.0,1.647,2419.0,1670.0,0.603,0.213,1.134,1.642,2080.0,2001.0,0.058,0.019,0.102,3.0
23242.363281,3699.137005308713,0.072449,0.0771914,-3.476,-3.4876000000000005,-22.248621646288807,-199.82476062982593,-0.07261659718023157,0.026179038330771093,3699.14,59192.2,0.0,1000000.0,1.647,2790.0,1297.0,1.202,0.424,0.208,1.643,2112.0,1979.0,0.095,0.031,0.034,3.0
23503.1875,3740.648469040646,0.079773,0.0766176,-3.549,-3.5208000000000004,-22.3134291230393,-201.72698050966025,-0.07117455967900957,0.02836262830308757,3740.65,59859.2,0.0,1000000.0,1.647,2417.0,1666.0,0.6,0.212,0.114,1.642,2071.0,1995.0,0.057,0.017,0.01,3.0
23890.4375,3802.2812207529823,0.068451,0.0721436,-3.518,-3.535,-22.836043799508783,-202.54058057874602,-0.06663242483988922,0.027655360798885153,3802.28,60844.7,0.0,1000000.0,1.647,2792.0,1300.0,1.198,0.424,0.014,1.642,2112.0,1976.0,0.094,0.029,0.001,3.0
24135.15625,3841.2294194827523,0.075287,0.0718444,-3.59,-3.5642000000000005,-22.872141556546598,-204.21361734052803,-0.06552372115758721,0.029466248098846227,3841.23,61460.6,0.0,1000000.0,1.647,2419.0,1669.0,0.6,0.212,0.159,1.642,2080.0,2000.0,0.058,0.016,0.014,3.0
24511.777344,3901.1705282655294,0.064758,0.0680724,-3.542,-3.5704000000000007,-23.340578747748705,-204.56885117350916,-0.061909280486832,0.028303579832995734,3901.17,62408.2,0.0,1000000.0,1.647,2788.0,1296.0,1.189,0.424,0.03,1.643,2090.0,1986.0,0.081,0.028,0.007,3.0
24761.322266,3940.8868361253108,0.070953,0.06785260000000001,-3.622,-3.6048000000000004,-23.368670124707197,-206.5398259887592,-0.06070256413238019,0.030317883081017898,3940.89,63056.4,0.0,1000000.0,1.648,2432.0,1670.0,0.603,0.212,0.208,1.642,2112.0,2000.0,0.058,0.015,0.009,3.0
25132.742188,4000.000152674417,0.060913,0.06428820000000002,-3.58,-3.6128000000000005,-23.83737467687194,-206.99819222486383,-0.05728212647295848,0.029184424715522347,4000.0,64006.0,0.0,1000000.0,1.647,2791.0,1297.0,1.203,0.424,0.052,1.642,2112.0,1988.0,0.08,0.026,0.007,3.0
25386.607422,4040.404059544698,0.067352,0.0640136,-3.69,-3.6514,-23.87455496485749,-209.2098093140688,-0.05587353719923009,0.031239219353342555,4040.4,64638.8,0.0,1000000.0,1.648,2419.0,1672.0,0.599,0.212,0.282,1.642,2080.0,1998.0,0.055,0.015,0.046,3.0
25750.761719,4098.361015960401,0.057465,0.060650600000000006,-3.63,-3.6598,-24.343297968363586,-209.6910938619787,-0.05268769288723197,0.030041676028156723,4098.36,65561.1,0.0,1000000.0,1.647,2816.0,1298.0,1.198,0.424,0.082,1.642,2083.0,1990.0,0.075,0.025,0.009,3.0
26017.330078,4140.7866879671465,0.063385,0.06039420000000001,-3.735,-3.6968,-24.380095343121646,-211.81103770396274,-0.05132245740809383,0.031834961272701356,4140.79,66251.0,0.0,1000000.0,1.647,2419.0,1669.0,0.602,0.212,0.052,1.642,2080.0,1995.0,0.055,0.014,0.05,3.0
26399.939453,4201.680861271698,0.054138,0.05715320000000001,-3.664,-3.6954000000000002,-24.859188969963448,-211.73082361264443,-0.04861041383442234,0.030058541832334484,4201.68,67220.2,0.0,1000000.0,1.647,2785.0,1298.0,1.198,0.423,0.165,1.642,2081.0,1990.0,0.069,0.023,0.028,3.0
26651.902344,4241.782000850072,0.059631,0.05701880000000001,-3.765,-3.736,-24.879638539149997,-214.05703226087556,-0.04723896626586157,0.03193154583750674,4241.78,67864.3,0.0,1000000.0,1.647,2432.0,1668.0,0.607,0.212,0.077,1.642,2066.0,2004.0,0.044,0.013,0.044,3.0
27024.453125,4301.075299198968,0.051147,0.05402200000000001,-3.683,-3.7342000000000004,-25.348586828411868,-213.95389985775202,-0.04481055915829584,0.030172674258687603,4301.08,68825.9,0.0,1000000.0,1.647,2816.0,1296.0,1.205,0.424,0.13,1.642,2081.0,1991.0,0.068,0.022,0.024,3.0
27258.941406,4338.39526821724,0.056793,0.05237400000000001,-3.833,-3.7604,-25.617685122471137,-215.45504928099479,-0.042662333767493565,0.030380275731319156,4338.4,69416.1,0.0,1000000.0,1.647,2421.0,1669.0,0.6,0.212,0.108,1.642,2080.0,2009.0,0.057,0.012,0.035,3.0
27648.78125,4400.440206404013,0.048401,0.04905980000000001,-3.726,-3.7658,-26.185484531917336,-215.7644464903654,-0.0398084288764981,0.028673209907940075,4400.44,70393.4,0.0,1000000.0,1.648,2789.0,1297.0,1.201,0.424,0.129,1.644,2083.0,1987.0,0.064,0.021,0.005,3.0
28270.800781,4499.437689462366,0.045898,0.04708240000000001,-3.795,-3.7998,-26.542828146737474,-217.7125029938102,-0.03724641900218068,0.028800289256776485,4499.44,72003.4,0.0,1000000.0,1.647,2791.0,1296.0,1.202,0.424,0.117,1.642,2080.0,2000.0,0.062,0.02,0.012,3.0
28888.207031,4597.700946045697,0.04306,0.04351800000000001,-3.792,-3.8104,-27.2266214430922,-218.3198382566489,-0.034142557340428106,0.02698336714080694,4597.7,73561.2,0.0,1000000.0,1.648,2792.0,1295.0,1.202,0.424,0.024,1.644,2077.0,2001.0,0.058,0.018,0.01,3.0
29533.1875,4700.352775884775,0.04126,0.041223,-3.853,-3.8532,-27.69720811332149,-220.77209761980882,-0.03121872097725635,0.026920757596030135,4700.35,75221.2,0.0,1000000.0,1.647,2800.0,1300.0,1.198,0.424,0.097,1.642,2074.0,2002.0,0.056,0.018,0.025,3.0
30171.359375,4801.920984333248,0.038971,0.0390686,-3.886,-3.8922,-28.163443023606902,-223.006633020819,-0.028569880428136237,0.026648028787923474,4801.92,76818.8,0.0,1000000.0,1.647,2791.0,1297.0,1.202,0.424,0.07,1.642,2080.0,1999.0,0.059,0.017,0.012,3.0
